dataset_name,display_name,algorithm_name,algorithm_display_name,seed,n_classes,test_samples,test_features,training_time_seconds,selected_validation_accuracy,selection_metric,grid_size,selected_search_iteration,warning_count,warnings,model_params,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,positive_label,precision_binary,recall_binary,f1_binary
faults,Steel Plates Faults,mlp_classifier,MLP,48,7,389,27,1.252694316999964,0.7757731958762887,validation_accuracy,5,1,1,Stochastic Optimizer: Maximum iterations (500) reached and the optimization hasn't converged yet.,"{""activation"": ""relu"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""random_state"": 48}",0.7763496143958869,0.7911614420542993,0.7845886567914176,0.7864221325536886,0.7790600024372518,0.7763496143958869,0.7771454375046047,,,,
faults,Steel Plates Faults,rbf_network,RBF Network,48,7,389,27,0.21363050399997974,0.7010309278350515,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 28, ""random_state"": 48}",0.6863753213367609,0.6625482264674863,0.5647285487479071,0.5737537331551906,0.6909806377560274,0.6863753213367609,0.663819696540826,,,,
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,48,7,389,27,0.4424066679999896,0.5025773195876289,validation_accuracy,5,1,0,,"{""m"": 1.5, ""n_clusters"": 7, ""random_state"": 48}",0.4987146529562982,0.1925803814348706,0.25179827205143657,0.20451308968098608,0.33260257030820595,0.4987146529562982,0.37371520456585616,,,,
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,48,7,389,27,0.15054715199994462,0.5644329896907216,validation_accuracy,5,2,0,,"{""n_rules"": 14, ""random_state"": 48, ""sigma_scale"": 0.5}",0.5578406169665809,0.36523226792504637,0.3655495983277462,0.3534037187970002,0.5127181184154939,0.5578406169665809,0.5118590438500689,,,,
faults,Steel Plates Faults,mlp_classifier,MLP,49,7,389,27,1.1070083309999745,0.7783505154639175,validation_accuracy,5,4,0,,"{""activation"": ""tanh"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""random_state"": 49}",0.7403598971722365,0.7643847663306216,0.775661733082541,0.7687577794092834,0.7426290293378647,0.7403598971722365,0.7402536102840874,,,,
faults,Steel Plates Faults,rbf_network,RBF Network,49,7,389,27,0.2007242849999784,0.7036082474226805,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 28, ""random_state"": 49}",0.6966580976863753,0.6395845716895417,0.5708025749124822,0.5892323095079987,0.688640515720989,0.6966580976863753,0.6806577398608247,,,,
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,49,7,389,27,0.3907979159999968,0.5,validation_accuracy,5,1,0,,"{""m"": 1.5, ""n_clusters"": 7, ""random_state"": 49}",0.5167095115681234,0.20039137150187178,0.26295626548791107,0.21418341772799346,0.34497011691782403,0.5167095115681234,0.38908923060497375,,,,
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,49,7,389,27,0.12774430700005723,0.5824742268041238,validation_accuracy,5,2,0,,"{""n_rules"": 14, ""random_state"": 49, ""sigma_scale"": 0.5}",0.6323907455012854,0.5357207072220557,0.4618794994988643,0.4709606392365013,0.6265064213426926,0.6323907455012854,0.5907009889848291,,,,
faults,Steel Plates Faults,mlp_classifier,MLP,50,7,389,27,0.7864159929999914,0.7628865979381443,validation_accuracy,5,4,0,,"{""activation"": ""tanh"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""random_state"": 50}",0.7634961439588689,0.7758603715157734,0.7967676008729029,0.7843172578825,0.7654329578745199,0.7634961439588689,0.7636227458105418,,,,
faults,Steel Plates Faults,rbf_network,RBF Network,50,7,389,27,0.1976667120000002,0.6778350515463918,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 28, ""random_state"": 50}",0.7017994858611826,0.8023012353500159,0.6258083420907795,0.6694555805360956,0.7209210730958177,0.7017994858611826,0.6954017800796571,,,,
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,50,7,389,27,0.4780956529999685,0.5103092783505154,validation_accuracy,5,2,0,,"{""m"": 1.5, ""n_clusters"": 14, ""random_state"": 50}",0.519280205655527,0.28412063789489084,0.268908088317371,0.23447002545876142,0.4670900159089929,0.519280205655527,0.41757516388401394,,,,
